SWAP70,,,,,CTSB,,,TMED2,,AQP3,EMP3,TXNIP,SPOCK2,,RPL29,PPM1G,,CASP2
ATP6V1G1,,,,,TYMP,,,RNASE6,,USP16,PXN,RPS2,EMB,,CCL5,IFNGR2,,LGALS1
NPM1,,,,,HCST,,,DHRS7,,PACS1,RGS19,GIMAP7,SSBP4,,RPS12,PSMD3,,UBE4A
RPS6,,,,,TMSB10,,,NR3C1,,WDR82,MYO1G,ITGB2,MAN1C1,,RPS15,SAV1,,CORO1B
LTB,,,,,VAMP8,,,SSR4,,CREBZF,ADAM8,RPL4,MLXIP,,RPS14,TTLL5,,DGKA
TRIM22,,,,,TMSB4X,,,SEC11C,,GZMM,RPL23A,RPL24,TMEM63A,,MYL12A,CD48,,FOXO3
RPL11,,,,,ARPC5,,,RNF130,,SPOCK2,SRPK2,RPL15,CTSW,,SON,ENC1,,MNDA
RPL38,,,,,B2M,,,IRF8,,RPS20,FUT11,LEPROTL1,OPTN,,RPS3A,WDR18,,HS3ST3B1
AKNA,,,,,EVI2B,,,HSP90B1,,RPL28,BIN2,PRKCH,NPM1,,RPL32,CD4,,IL10RA
RPL39,,,,,TXN,,,CCDC88A,,ANKRD12,CASP8,RPL10,ZBTB38,,RPS29,MAN1B1,,LMNA
RPL41,,,,,ARPC1B,,,EMP3,,RPL30,FLNA,RPS27A,ZNF101,,LGALS1,ITGAE,,CORO7
RPS7,,,,,NCF2,,,NUCB2,,MAN1C1,WDR37,RPL8,MED31,,JUN,SNRPC,,LGALS3
PFDN5,,,,,TPT1,,,TMEM109,,RPL13,USP28,RPL26,PSIP1,,RNPS1,MNAT1,,CMTM7
EVI2B,,,,,ITGB2,,,,,COPS7B,RPL31,NDUFS5,CCND3,,EMP3,STAT4,,
B2M,,,,,IFITM3,,,,,MLXIP,SYNE1,RPL36,CALM1,,RPS15A,TRIM28,,
FCGR2B,,,,,WSB1,,,,,CTSW,PIK3R5,RPL7,AAK1,,RPL19,FURIN,,
RPS21,,,,,SERF2,,,,,NPM1,FCGR3A,RPL29,AKNA,,RPL18,BHLHE40,,
TCF4,,,,,PLAUR,,,,,RPS6,RAP1GAP2,CCL5,PTP4A2,,RPS23,CD44,,
COX7C,,,,,SAT1,,,,,PRMT3,RAP1B,ISG20,TPP2,,RPL3,CD47,,
TSC22D3,,,,,PPT1,,,,,RPL11,STK10,RPS12,COX4I1,,HLA-A,HAVCR2,,
RPS2,,,,,ARRB2,,,,,RPL38,CD44,RPS15,FYN,,RPL6,TACO1,,
SPN,,,,,CAST,,,,,AAK1,RPS25,RPS14,GDAP2,,RPL23A,,,
RPL4,,,,,SERP1,,,,,CHMP7,ARL4C,IFITM1,HCST,,RPLP1,,,
RPL15,,,,,RGS2,,,,,NCK2,SPON2,MYL12A,PRDM1,,S100A4,,,
ARHGAP24,,,,,FGL2,,,,,TPP2,AGTPBP1,GPSM3,ITGAL,,RPL10A,,,
RPL10,,,,,TMBIM6,,,,,CMPK1,VEZF1,SON,BCAS2,,LIMD2,,,
GNG7,,,,,GLIPR1,,,,,RPL39,LITAF,RPS3A,B2M,,RPL34,,,
RPS27A,,,,,NACA,,,,,WDR6,,NKG7,SLC9A3R1,,RPL35A,,,
RPS26,,,,,CMTM6,,,,,MLH3,,RPL32,LDHB,,RPLP0,,,
RHOH,,,,,MS4A7,,,,,GRK6,,RPS29,CNOT6L,,TOMM7,,,
RPL8,,,,,LRRFIP1,,,,,POP5,,LGALS1,ITGB2,,LSP1,,,
CALR,,,,,SLC25A3,,,,,RPL41,,JUN,SPN,,RPL31,,,
CLK1,,,,,AHNAK,,,,,RPS7,,CDC42SE2,TCF7,,RPL18A,,,
RPL26,,,,,CLEC7A,,,,,RBMS1,,EMP3,PASK,,RPL23,,,
CD81,,,,,CST3,,,,,RPS21,,RPS15A,PRKCH,,RPLP2,,,
ZCCHC7,,,,,FTH1,,,,,LDHB,,RPL19,SKI,,RPL14,,,
RPL36,,,,,SH3BGRL,,,,,TXNIP,,RPL18,BTN3A2,,RPL5,,,
THAP11,,,,,CTSS,,,,,RPS2,,RPS23,PRKACB,,CD44,,,
GPR183,,,,,PSME2,,,,,GIMAP7,,RPL3,CAPN2,,RPS25,,,
CMTM6,,,,,FGR,,,,,NOL9,,HLA-A,TNKS2,,EEF1A1,,,
POLD4,,,,,STXBP2,,,,,RPL4,,RPL6,ACTN1,,PFN1,,,
ALOX5,,,,,ZEB2,,,,,SUPV3L1,,TBC1D10C,GIMAP2,,NDUFA4,,,
RPL7,,,,,ANXA5,,,,,RPL24,,STAT3,NDUFS5,,ZFP36L2,,,
RPL29,,,,,S100A11,,,,,TCF7,,RPL23A,GPR183,,,,,
AHNAK,,,,,RHOA,,,,,RPL15,,RPLP1,SH3YL1,,,,,
SSR1,,,,,FOS,,,,,PASK,,TUBA4A,BTN3A1,,,,,
TPD52,,,,,BRI3,,,,,LEPROTL1,,S100A4,MAML2,,,,,
JUNB,,,,,GMFG,,,,,CUL1,,LAT,EXOSC8,,,,,
RPSA,,,,,GPSM3,,,,,RPL10,,RPL10A,CCL5,,,,,
RPS12,,,,,PLEK,,,,,RPS27A,,EIF3E,CHST12,,,,,
COCH,,,,,TKT,,,,,NUDCD3,,LIMD2,ISG20,,,,,
CTSS,,,,,NAMPT,,,,,RAB3GAP1,,CD48,TREM1,,,,,
RPS15,,,,,LGALS1,,,,,RPL8,,RPL34,RRP8,,,,,
CD40,,,,,ACTG1,,,,,ZBTB40,,RPL35A,THEM4,,,,,
CD99,,,,,AP1S2,,,,,ACTN1,,RPLP0,PLEKHB1,,,,,
CASP4,,,,,CFL1,,,,,RPL26,,TOMM7,SETD2,,,,,
ITSN2,,,,,LAMTOR1,,,,,RPA3,,CD69,RORA,,,,,
RPS14,,,,,AIF1,,,,,ZNF76,,LSP1,ARPC5L,,,,,
NCF1,,,,,SERPINA1,,,,,MTRF1,,RPL31,KIAA1109,,,,,
DRAM2,,,,,GSTO1,,,,,RPL36,,RPL18A,ABLIM1,,,,,
RPL9,,,,,CSTB,,,,,GPR183,,RPL23,IFITM1,,,,,
PAPOLA,,,,,EMP3,,,,,RPL7,,RPLP2,PDK1,,,,,
GMFG,,,,,RPS24,,,,,SATB1,,DNAJB1,RAB27A,,,,,
FCGR2A,,,,,LYZ,,,,,RBL2,,RAP1B,CDC25B,,,,,
FAU,,,,,ALDOA,,,,,RPL29,,RPL14,MYL12A,,,,,
RPS3A,,,,,CD63,,,,,PARP11,,RPL5,TPST2,,,,,
