group,index
8,HSP90B1
8,CCDC88A
8,EMP3
8,NUCB2
8,TMEM109
9,EAF2
9,HDLBP
9,FKBP2
9,HSP90B1
9,UBE2J1
9,MANF
9,RABAC1
9,DNAJB9
9,HERPUD1
9,TXNDC15
9,PDIA4
9,ST6GALNAC4
9,ERLEC1
9,SDF2L1
9,CD40
9,CXCR4
9,LMAN1
9,TMED9
9,KDELR2
9,SPATS2
9,ANKRD28
9,LMAN2
9,RASGRP3
9,PAIP2B
9,ARSA
9,HM13
9,KDELR1
9,CD9
9,MANEA
9,PDK1
9,ELL2
9,LMF1
9,FAS
9,PDIA6
9,KRTCAP2
9,SPCS2
9,CRELD2
9,TMEM156
9,MAN1A1
9,SSR3
9,ICAM1
9,XBP1
9,PRDX4
9,SEC11C
9,GNG7
9,TXNDC11
9,SPCS3
9,FKBP11
10,RPS5
10,VPS52
10,GIN1
10,CDK10
10,NAA16
10,ACAP1
10,CD7
10,RXRB
10,NPAT
10,RPL13A
10,SERINC5
10,SOCS3
10,KRI1
10,NDFIP1
10,RPS27
10,RPS16
10,FCF1
10,RSL1D1
10,RPAP2
10,RPS13
10,RPS19
10,FAM102A
10,RUNX3
10,CRLF3
10,TRAF1
10,INPP4A
10,ZBTB7B
10,EEF1B2
10,PCED1B
10,RPL12
10,JAK3
10,PHF20L1
10,REV1
10,MYC
10,NUMA1
10,PLCG1
10,RPS8
10,POLR3E
10,RPRD2
10,RPL37
10,CABIN1
10,RPL35
10,RPS3
10,RPL27
10,ZNF609
10,EIF3L
10,RPL27A
10,RPL37A
10,PIM1
10,PHF1
10,BMS1
10,DDX50
10,HMOX2
10,SUSD3
10,ZNF780B
10,FKTN
10,STMN3
10,AQP3
10,USP16
10,PACS1
10,WDR82
10,CREBZF
10,GZMM
10,SPOCK2
10,RPS20
10,RPL28
10,ANKRD12
10,RPL30
10,MAN1C1
10,RPL13
10,COPS7B
10,MLXIP
10,CTSW
10,NPM1
10,RPS6
10,PRMT3
10,RPL11
10,RPL38
10,AAK1
10,CHMP7
10,NCK2
10,TPP2
10,CMPK1
10,RPL39
10,WDR6
10,MLH3
10,GRK6
10,POP5
10,RPL41
10,RPS7
10,RBMS1
10,RPS21
10,LDHB
10,TXNIP
10,RPS2
10,GIMAP7
10,NOL9
10,RPL4
10,SUPV3L1
10,RPL24
10,TCF7
10,RPL15
10,PASK
10,LEPROTL1
10,CUL1
10,RPL10
10,RPS27A
10,NUDCD3
10,RAB3GAP1
10,RPL8
10,ZBTB40
10,ACTN1
10,RPL26
10,RPA3
10,ZNF76
10,MTRF1
10,RPL36
10,GPR183
10,RPL7
10,SATB1
10,RBL2
10,RPL29
10,PARP11
10,ACBD4
10,GIMAP4
10,INPP4B
10,RPS12
10,RPS15
10,THEM4
10,RPS14
10,IL6ST
10,PRMT2
10,ABLIM1
10,RAPGEF6
10,IFITM1
10,TBC1D5
10,GPSM3
10,ARFRP1
10,IDUA
10,RPS3A
10,DIDO1
10,PRKCA
10,NUP50
10,RPL32
10,PIK3IP1
10,RPS29
10,RNF216
10,UTP20
10,SH2B1
10,GLG1
10,ZNF263
10,DGKA
10,HAUS3
10,SLTM
10,ZNF264
10,ATXN7
10,MT1E
10,TEX264
10,RPS15A
10,RPL19
10,OXNAD1
10,SELPLG
10,RPL18
10,RCAN3
10,RPS23
10,SVIL
10,COQ6
10,SETD5
10,RPL3
10,TMC8
10,TRABD2A
10,RPL6
10,GIMAP6
10,FAM117B
10,RPL23A
10,RPLP1
10,FAM193B
10,CASP8
10,RPL10A
10,KDM3A
10,LIMD2
10,SELL
10,TATDN2
10,PIM2
10,LDLRAP1
10,RPL34
10,RPL35A
10,RPLP0
10,CD4
10,TNFRSF25
10,RPL31
10,SLC40A1
10,RPL18A
10,MSL3
10,RPL23
10,RPLP2
10,DNAJB1
10,RPL14
10,RPL5
10,NOSIP
10,CD55
10,EEF1A1
10,NUDT9
10,CEPT1
10,RNPEPL1
10,FNBP4
10,CLUAP1
