GMFG,,,,,DAZAP2,,,SEC61G,XBP1,IDUA,PRDM1,MYL12A,FAM102A,,RPL27A,NUP205,,RNF214
GNG7,,,,,DUSP1,,,SEL1L3,,IFITM1,PRKCB,NDUFA1,FAM117B,,RPL28,POLD2,,RTKN2
GPR183,,,,,EMP3,,,SELL,,IL6ST,PRR5,NDUFA4,FKBP5,,RPL29,PPM1G,,S1PR4
GTF3A,,,,,EVI2B,,,SERPINF1,,INPP4A,PXN,NDUFS5,FOXP1,,RPL3,PSMD3,,SAMHD1
HHEX,,,,,FCGRT,,,SIVA1,,INPP4B,RAP1B,NKG7,FYN,,RPL30,PTTG1,,SELPLG
HLA-A,,,,,FGL2,,,SLC15A4,,JAK3,RAP1GAP2,NPM1,GDAP2,,RPL31,R3HDM1,,SKAP1
HLA-DMA,,,,,FGR,,,SLC20A1,,KDM3A,RAP2B,PFN1,GIMAP2,,RPL32,RCSD1,,SMAD2
HLA-DOB,,,,,FKBP1A,,,SLC3A2,,KRI1,RASSF1,PPP2R5C,GNG2,,RPL34,RNPS1,,SMAD4
HLA-DQB1,,,,,FOS,,,SPCS1,,LDHB,RGS19,PRKCH,GNLY,,RPL35,RUVBL2,,SOCS1
HLA-DRB1,,,,,FTH1,,,SSR4,,LDLRAP1,RNF166,RAP1B,GPR155,,RPL35A,SAV1,,SPOCK2
HVCN1,,,,,FTL,,,STMN1,,LEPROTL1,RPL23A,RGS1,GPR183,,RPL36,SH3KBP1,,ST8SIA4
IL4R,,,,,FXYD5,,,TCF4,,LIMD2,RPL30,RPL10,GZMB,,RPL37,SKAP1,,STAM
IRF8,,,,,GABARAP,,,TGFBI,,MAN1C1,RPL31,RPL10A,GZMM,,RPL37A,SLC35B3,,STAT5A
ITGB1,,,,,GLIPR1,,,TMED2,,MLH3,RPS14,RPL11,HAUS3,,RPL38,SNRPC,,STAT5B
ITSN2,,,,,GMFG,,,TMEM109,,MLXIP,RPS25,RPL12,HCST,,RPL39,STAT1,,TRIM16
JUNB,,,,,GPSM3,,,TRAM1,,MSL3,RPS27,RPL13,HIGD2A,,RPL4,STAT4,,TTC39C
LAPTM5,,,,,GRB2,,,TSPAN13,,MT1E,RPS29,RPL13A,HLA-A,,RPL41,TACO1,,UBE4A
LIMD2,,,,,GRN,,,TXN,,MTRF1,SH3BP5,RPL14,HLA-F,,RPL5,THOP1,,USP15
LTB,,,,,GSTO1,,,UBE2J1,,MYC,SLC2A1,RPL15,IFITM1,,RPL6,THUMPD2,,VPS54
LY86,,,,,GSTP1,,,UGCG,,NAA16,SLC9A3R1,RPL18,IL10RA,,RPL7,TMEM39B,,ZCCHC8
MEF2C,,,,,H2AFY,,,UNC93B1,,NCK2,SPON2,RPL18A,ISG20,,RPL8,TNFRSF1A,,
MICAL3,,,,,HCLS1,,,,,NDFIP1,SRPK2,RPL19,ITFG2,,RPLP0,TRAF1,,
MZB1,,,,,HCST,,,,,NOL9,STK10,RPL23,ITGAL,,RPLP1,TRAF3IP2,,
NCF1,,,,,HLA-C,,,,,NOSIP,SYNE1,RPL23A,ITGB2,,RPLP2,TRIM28,,
NFKBIA,,,,,HLA-DMA,,,,,NPAT,SYNE2,RPL24,JMJD6,,RPS12,TTLL5,,
NOP10,,,,,HLA-DQB1,,,,,NPM1,TAGLN2,RPL26,JOSD1,,RPS13,UBAP2,,
NPM1,,,,,HLA-DRB1,,,,,NUDCD3,TPST2,RPL27,KIAA1109,,RPS14,WDR18,,
OSTF1,,,,,HLA-DRB5,,,,,NUDT9,TTC38,RPL27A,KLF2,,RPS15,WRAP53,,
PABPC1,,,,,HNRNPU,,,,,NUMA1,USP28,RPL28,LDHB,,RPS15A,ZEB2,,
