B cells,cDC cells,Endothelial cells,Fibroblasts,Macrophages M1,Macrophages M2,Mast cells,Monocytes,Myofibroblasts,NK cells,pDC cells,Plasma cells,T CD4 naive cells,T CD4 effector cells,T CD8 central memory cells,T CD8 effector cells,T CD8 effector memory cells,T CD8 exhausted cells,T CD8 naive cells,Tfh cells,Tprolifs,Th1 cells,Th17 cells,Th2 cells,Tregs,MAIT,T CD4 conventional cells
BCL6,ID2,ITGB2,COL6A2,FCGR3A,CD200R1,CPM,RNASET2,TYRP1,CD34,IRF4,CD79B,GPR183,,,PRF1,CEP78,IFITM3,CD55,ICOS,,HBEGF,,THADA,IL7R,PRKCB,RAP1GAP2
BCL7A,IRF4,MRC1,COL6A3,FOS,CD33,CTSG,MS4A6A,LINC00632,CD38,OFD1,CD9,GZMA,,,S100A4,CX3CR1,BST2,CD8A,IL1R2,,LTA,,SH3TC1,ANPEP7,PLEK,CXCR4
BEND5,IRF8,CD248,CPE,FPR3,CD40,EGR3,PLAUR,ROBO2,CD3D,GPX1,FAS,GZMK,,,ZEB2,CXCR3,GNLY,CD8B,IL21,,IL12RB2,,PTPN13,KLRB1,TM4SF19,CD44
BLK,ITGAE,CLEC4M,CPXM1,HLA-DRA,CD63,ELA2,PRELID1,HS3ST3A1,CD3E,FKBP2,CHPF,IL7R,,,,CXCR4,IFI44L,CEP68,KCNK5,,CTLA4,,TOX,CXCR3,KLRF1,CD3E
BLNK,ITGAM,KDR,CRISPLD2,IFI27,CD68,FCER1A,BRI3,SFTA1P,CD3G,ERP29,CIBAR2,IL9R,,,,CXCR5,CCL3,COQ8A,LDLRAD4,,BST2,,POMT1,CCR4,SAMD3,CD4
BP1,ITGAX,PECAM1,CTGF,IL12A,CD80,FCN1,C1orf162,COL16A1,CD4,CLIC3,CLDN14,LDLRAP1,,,,DSTN,GZMK,DGKA,LTB,,CD38,,ELAPOR1,CCR6,VCL,GZMK
BRAF,LAMP3,CDH1,CXCL12,IL12B,CD86,FTL,TAGLN2,NOTUM,CD40LG,PDIA4,CLDN3,LEF1,,,,EFHD2,NKG7,EEF2,MAF,,CD70,,SIRPG,CCR7,FCGR3B,FGFBP2
BTG1,PPA1,CD34,CXCL14,IL1A,CXCL10,GATA2,LYZ,RARRES1,CD44,IRF8,CRELD2,LRRN3,,,,EMP3,LAG3,EIF3E,MAGEH1,,APOD,,MRTFB,LAG3,LILRB1,ITGA1
BTK,PTTG1,CD36,CYBRD1,IL1B,CXCL11,HDC,LSP1,THBD,CD52,DHRS7,CST6,LTB,,,,EOMES,BTLA,EIF3L,MALAT1,,CSF2,,STK39,CD226,ADAM8,CXCR3
BTLA,RAB32,ENTPD1,CYP1B1,IL23A,CXCL2,HPGD,SLC25A3,TNFRSF19,CD69,CTSB,CTHRC1,MAL,,,,FCGR3A,ITGAE,EPHX2,MME,,DUSP5,,CHGB,CD25,LITAF,CD8B
C1orf162,SLC38A1,CD40,DCN,IL2RA,CXCL9,HPGDS,COTL1,ALDH2,CD7,PTPRS,CXCR4,MYC,,,,FCGR3B,LAYN,EXOSC8,MRTFB,,APBB2,,LDLRAD4,CD27,OSBPL5,CD8A
