ligand,receptor,species
HBEGF,CD44,Human
HBEGF,EGFR,Human
HBEGF,CD9,Human
HBEGF,PRLR,Human
HBEGF,ERBB2,Human
HBEGF,ERBB4,Human
IL12B,IL12RB1,Human
IL12B,IL23R,Human
IL12B,IL12RB2,Human
IL4,IL13RA2,Human
IL4,IL2RG,Human
IL4,CD53,Human
IL4,IL13RA1,Human
IL4,IL4R,Human
IL5,CSF2RB,Human
IL5,IL5RA,Human
SEMA3G,NRP2,Human
LTF,LRP1,Human
LTF,TFRC,Human
HRG,ERBB2,Human
HRG,FCGR1A,Human
HRG,ERBB3,Human
TFPI,VLDLR,Human
TFPI,LRP1,Human
TFPI,SDC4,Human
TFPI,F3,Human
APOB,ITGAM,Human
APOB,LRP6,Human
APOB,OLR1,Human
APOB,LRP2,Human
APOB,VLDLR,Human
APOB,LDLR,Human
APOB,CALCR,Human
APOB,MTTP,Human
APOB,LSR,Human
APOB,ADRB2,Human
APOB,TLR6,Human
APOB,LRP1,Human
APOB,ITGB2,Human
APOB,TLR4,Human
APOB,LRP8,Human
WNT6,FZD4,Human
PROC,ITGAM,Human
PROC,ITGB2,Human
PROC,THBD,Human
ANGPTL1,TEK,Human
CD160,TNFRSF14,Human
APOA1,ABCA1,Human
APOA1,LRP2,Human
APOA1,LDLR,Human
APOA1,LRP1,Human
FGF23,FGFR2,Human
FGF23,PHEX,Human
FGF23,KL,Human
FGF23,FGFR4,Human
FGF23,FGFR1,Human
FGF23,FGFR3,Human
TGFB3,ENG,Human
TGFB3,ITGB1,Human
TGFB3,TGFBR2,Human
TGFB3,ITGB3,Human
TGFB3,TGFBR1,Human
TGFB3,ACVRL1,Human
TGFB3,ITGB6,Human
TGFB3,ITGB5,Human
IFNA7,IFNAR2,Human
IFNA7,IFNAR1,Human
IAPP,PTH1R,Human
IAPP,ADCYAP1R1,Human
IAPP,RAMP2,Human
IAPP,VIPR1,Human
IAPP,CALCR,Human
IAPP,RAMP3,Human
IAPP,GPR20,Human
IAPP,ADRB2,Human
IAPP,RAMP1,Human
IAPP,ADRB3,Human
IAPP,TSHR,Human
IAPP,GPR84,Human
TNFSF10,TNFRSF10D,Human
TNFSF10,RIPK1,Human
TNFSF10,TNFRSF10B,Human
TNFSF10,TNFRSF10C,Human
TNFSF10,TNFRSF11B,Human
GSTM2,RYR2,Human
INHBA,ACVR1,Human
INHBA,ACVR2B,Human
INHBA,ENG,Human
INHBA,SMAD3,Human
INHBA,BAMBI,Human
INHBA,ACVR1B,Human
INHA,ACVR1,Human
INHA,ACVR2B,Human
PI3,PLD2,Human
IL17C,IL17RE,Human
LYPD3,AGR2,Human
EREG,ERBB2,Human
EREG,EGFR,Human
EREG,ERBB4,Human
EREG,ERBB3,Human
EFNB2,EPHB6,Human
EFNB2,PECAM1,Human
EFNB2,EPHB4,Human
EFNB2,RHBDL2,Human
EFNB2,EPHA3,Human
EFNB2,EPHB1,Human
EFNB2,EPHB3,Human
EFNB2,GRM5,Human
EFNB2,EPHB2,Human
EFNB2,EPHA4,Human
EFNB2,EPHA6,Human
EFNB2,GRM1,Human
BMP4,LRP6,Human
BMP4,BMPR2,Human
BMP4,BMPR1A,Human
BMP4,HJV,Human
BMP4,BMPR1B,Human
PSPN,GFRA3,Human
PSPN,RET,Human
PSPN,SDC3,Human
PSPN,GFRA2,Human
PSPN,GFRA4,Human
PSPN,GFRA1,Human
TNFSF9,TNFRSF9,Human
TNFSF9,PVR,Human
TNFSF9,TRAF2,Human
CD70,TNFRSF13B,Human
CD70,CD27,Human
C3,ITGAM,Human
C3,CD19,Human
C3,CD46,Human
C3,MTNR1A,Human
C3,C5AR2,Human
C3,CR2,Human
C3,GRM7,Human
C3,ITGAX,Human
C3,C3AR1,Human
C3,ADRA2A,Human
C3,IFITM1,Human
C3,CR1,Human
C3,ITGB2,Human
C3,CD81,Human
VASP,CXCR2,Human
SLURP1,CHRNA7,Human
GDF1,ACVR2B,Human
GDF1,SMAD3,Human
GDF1,ACVR1B,Human
OMG,RTN4RL1,Human
OMG,LINGO1,Human
LIF,LIFR,Human
LIF,IL6ST,Human
DLL4,NOTCH1,Human
DLL4,NOTCH4,Human
DLL4,NOTCH2,Human
DLL4,NOTCH3,Human
TPH1,HTR7,Human
TPH1,HTR1A,Human
TPH1,HTR1F,Human
TPH1,HTR1D,Human
TPH1,HTR2C,Human
TPH1,HTR4,Human
TPH1,HTR6,Human
TPH1,HTR1B,Human
TPH1,HTR2A,Human
TPH1,HTR2B,Human
TPH1,HTR5A,Human
TPH1,HTR1E,Human
AANAT,MTNR1B,Human
AANAT,MTNR1A,Human
LMAN1,MCFD2,Human
APOE,LRP6,Human
APOE,LRP2,Human
APOE,VLDLR,Human
APOE,LDLR,Human
APOE,LRP5,Human
APOE,CHRNA4,Human
APOE,TREM2,Human
APOE,LSR,Human
APOE,SORL1,Human
APOE,ABCA1,Human
APOE,SCARB1,Human
APOE,SDC2,Human
APOE,LRP8,Human
APOE,LRP4,Human
APOC2,LDLR,Human
NCAN,CDH2,Human
NCAN,SDC3,Human
BST2,LILRA4,Human
BMP15,BMPR2,Human
BMP15,BMPR1A,Human
BMP15,BMPR1B,Human
EPO,EPHB4,Human
GDF15,GFRAL,Human
GDF15,RET,Human
LAMA5,SDC1,Human
LAMA5,ITGA6,Human
LAMA5,BCAM,Human
LAMA5,ITGB1,Human
LAMA5,ITGA2,Human
F12,GP1BA,Human
JAG1,CD46,Human
JAG1,NOTCH4,Human
JAG1,NOTCH1,Human
JAG1,NOTCH2,Human
JAG1,NOTCH3,Human
CRP,OLR1,Human
CRP,CR1,Human
NTS,SORT1,Human
NTS,NTSR1,Human
NTS,NTSR2,Human
TSHB,PTH1R,Human
TSHB,ADCYAP1R1,Human
TSHB,VIPR1,Human
TSHB,GPR20,Human
TSHB,ADRB2,Human
TSHB,ADRB3,Human
TSHB,TSHR,Human
TSHB,GPR84,Human
FST,HJV,Human
FST,BMPR2,Human
FST,BMPR1B,Human
GRP,GRPR,Human
GRP,BRS3,Human
GRP,NMBR,Human
SPX,GALR2,Human
DSC1,DSG2,Human
SEMA6A,PLXNA4,Human
SEMA6A,PLXNA2,Human
LACRT,SDC1,Human
GDF11,ACVR2B,Human
GDF11,ACVR1B,Human
GDF11,BMPR2,Human
GDF11,BMPR1A,Human
GDF11,BMPR1B,Human
LAMC1,ITGA6,Human
LAMC1,ITGA1,Human
LAMC1,ITGA7,Human
LAMC1,ITGAV,Human
LAMC1,ITGB1,Human
LAMC1,ITGA2,Human
IL36G,IL36RN,Human
IL36G,IL1RL2,Human
IL1RN,IL1R1,Human
IL1RN,IL1RL2,Human
IL1RN,IL1R2,Human
IL36A,IL36RN,Human
IL36A,IL1RL2,Human
IL36B,IL36RN,Human
IL36B,IL1RL2,Human
CFC1,SMAD3,Human
CFC1,ACVR1B,Human
ORM1,CCR5,Human
CCN3,PLXNA1,Human
CCN3,NOTCH1,Human
CCL21,ADRA2A,Human
CCL21,MTNR1A,Human
CCL21,CXCR3,Human
CCL21,GRM7,Human
CCL21,ACKR2,Human
CCL27,CCR10,Human
CCL27,ADRA2A,Human
CCL27,GRM7,Human
CCL27,ACKR2,Human
CCL27,MTNR1A,Human
TGS1,RXRA,Human
MMP7,CD44,Human
MMP7,SDC1,Human
MMP7,CD151,Human
MMP7,ERBB4,Human
THBS1,ITGA4,Human
THBS1,CD47,Human
THBS1,SDC1,Human
THBS1,ITGB1,Human
THBS1,LRP5,Human
THBS1,ITGA2B,Human
THBS1,ITGB3,Human
THBS1,SDC4,Human
THBS1,SCARB1,Human
THBS1,ITGA6,Human
THBS1,TNFRSF11B,Human
THBS1,CD36,Human
ADAM10,GPNMB,Human
ADAM10,TSPAN5,Human
ADAM10,TSPAN15,Human
ADAM10,CD44,Human
ADAM10,TSPAN10,Human
ADAM10,CADM1,Human
ADAM10,TSPAN14,Human
ADAM10,NOTCH1,Human
ADAM10,IL6R,Human
ADAM10,MET,Human
ADAM10,TSPAN17,Human
ADAM10,EPHA3,Human
ADAM10,TREM2,Human
ADAM10,AXL,Human
ADAM10,NRCAM,Human
MSTN,ACVR2B,Human
COL8A1,ITGA1,Human
COL8A1,ITGA2,Human
LYZ,ITGAL,Human
VWF,SCARA5,Human
VWF,ITGA2B,Human
VWF,ITGB3,Human
VWF,STAB2,Human
VWF,SELP,Human
VWF,SIRPA,Human
VWF,TNFRSF11B,Human
VWF,GP1BA,Human
CDH1,EGFR,Human
CDH1,LRP5,Human
CDH1,IGF1R,Human
CDH1,ITGB7,Human
CDH1,ERBB3,Human
CDH1,KLRG1,Human
CDH1,CDH2,Human
CDH1,ITGAE,Human
CDH1,PTPRM,Human
CDH1,PTPRF,Human
IL17B,IL17RB,Human
SEMA7A,ITGB1,Human
SEMA7A,ITGA1,Human
RIMS2,ABCA1,Human
ANOS1,SDC2,Human
ANOS1,FGFR1,Human
TIMP2,CD44,Human
TIMP2,ITGB1,Human
LGALS3BP,ITGB1,Human
IL37,IL1RAPL1,Human
IL1A,IL1R1,Human
IL1A,IL1RAP,Human
IL1A,IL1R2,Human
IL1B,SIGIRR,Human
IL1B,IL1R1,Human
IL1B,ADRB2,Human
IL1B,IL1RAP,Human
IL1B,IL1R2,Human
MIA,CDH7,Human
LCN1,LMBR1L,Human
CNTN3,PTPRG,Human
IL7,IL7R,Human
IL7,IL2RG,Human
CKLF,CCR4,Human
FARP2,PLXNA3,Human
FARP2,PLXNA1,Human
FARP2,PLXNA2,Human
FARP2,PLXNA4,Human
LAMC2,ITGA6,Human
LAMC2,CD151,Human
LAMC2,ITGB1,Human
LAMC2,ITGA2,Human
LAMC2,COL17A1,Human
NID1,ITGB1,Human
NID1,ITGB3,Human
NID1,COL13A1,Human
NID1,PTPRF,Human
NMU,ADRA2A,Human
NMU,GRM7,Human
NMU,NMUR1,Human
NMU,MTNR1A,Human
IL21,IL21R,Human
IL21,IL2RG,Human
FGF2,SDC1,Human
FGF2,FGFR1,Human
FGF2,FGFR2,Human
FGF2,CD44,Human
FGF2,SDC3,Human
FGF2,SDC4,Human
FGF2,GPC4,Human
FGF2,SDC2,Human
FGF2,FGFRL1,Human
FGF2,FGFR4,Human
FGF2,FGFR3,Human
FGF2,NRP1,Human
IL11,IL11RA,Human
IL11,IL6ST,Human
WNT5A,PTK7,Human
WNT5A,LDLR,Human
WNT5A,LRP5,Human
WNT5A,EPHA7,Human
WNT5A,FZD5,Human
WNT5A,ROR1,Human
WNT5A,VANGL2,Human
WNT5A,RYK,Human
WNT5A,ROR2,Human
WNT5A,PTPRK,Human
WNT5A,ADRB2,Human
WNT5A,FZD1,Human
WNT5A,FZD4,Human
WNT5A,FZD9,Human
WNT5A,FZD7,Human
WNT5A,FZD3,Human
WNT5A,FZD8,Human
WNT5A,FZD2,Human
WNT5A,ANTXR1,Human
WNT5A,FZD6,Human
FGF10,FGFR2,Human
FGF10,FGFRL1,Human
FGF10,FGFR1,Human
ICAM1,ITGAM,Human
ICAM1,ITGAL,Human
ICAM1,ITGAX,Human
ICAM1,MUC1,Human
ICAM1,EGFR,Human
ICAM1,CAV1,Human
ICAM1,IL2RA,Human
ICAM1,ITGB2,Human
ICAM1,SPN,Human
ICAM1,IL2RG,Human
OLFM2,ROBO2,Human
F13A1,ITGA4,Human
F13A1,ITGB1,Human
BST1,CAV1,Human
KNG1,ITGAM,Human
KNG1,ADRA2A,Human
KNG1,RXFP4,Human
KNG1,PLAUR,Human
KNG1,MTNR1A,Human
KNG1,ITGB2,Human
KNG1,SDC2,Human
KNG1,GRM7,Human
KNG1,BDKRB2,Human
KNG1,GP1BA,Human
VCAN,ITGA4,Human
VCAN,CD44,Human
VCAN,EGFR,Human
VCAN,ITGB1,Human
VCAN,TLR1,Human
TNC,ITGA5,Human
TNC,SDC1,Human
TNC,EGFR,Human
TNC,ITGB3,Human
TNC,ITGB6,Human
TNC,PTPRB,Human
TNC,ITGA8,Human
TNC,ITGA7,Human
TNC,ITGB1,Human
TNC,SDC4,Human
TNC,CNTN1,Human
TNC,ITGA2,Human
EGF,EGFR,Human
EGF,LDLR,Human
EGF,FSHR,Human
EGF,ERBB3,Human
EGF,ADRB2,Human
EGF,CAV1,Human
EGF,RHBDL2,Human
EGF,ERBB2,Human
EGF,ERBB4,Human
EGF,NRP1,Human
EGF,AXL,Human
SEMA3C,PLXND1,Human
SEMA3C,NRP1,Human
SEMA3C,NRP2,Human
SEMA3A,PLXNA4,Human
SEMA3A,PLXNA3,Human
SEMA3A,PLXNA1,Human
SEMA3A,NRP1,Human
SEMA3A,PLXNA2,Human
SEMA3A,NRP2,Human
WNT2,FZD1,Human
WNT2,FZD4,Human
WNT2,FZD9,Human
WNT2,FZD7,Human
WNT2,FZD3,Human
WNT2,FZD8,Human
WNT2,FZD5,Human
WNT2,FZD2,Human
NPTX2,NPTXR,Human
GAL,ADRA2A,Human
GAL,MTNR1A,Human
GAL,GALR2,Human
GAL,GRM7,Human
GAL,GPR151,Human
GAL,GALR1,Human
ADAM2,ITGB1,Human
ADAM2,CD9,Human
ADAM2,ITGA6,Human
ADAM2,ITGB7,Human
ADAM28,ITGA4,Human
SLIT1,ROBO1,Human
SLIT1,FLRT3,Human
TIMP3,CD44,Human
TIMP3,MET,Human
TIMP3,AGTR2,Human
INHBE,ACVR2B,Human
LUM,ITGB1,Human
DHH,PTCH1,Human
DHH,HHIP,Human
DHH,BOC,Human
DHH,CDON,Human
DHH,PTCH2,Human
NPFF,NPFFR1,Human
NPFF,NPFFR2,Human
FGF7,FGFR2,Human
FGF7,FGFR4,Human
FGF7,FGFR1,Human
FGF7,FGFR3,Human
HDC,HRH1,Human
HDC,HRH2,Human
HDC,HRH3,Human
MFGE8,ITGB3,Human
IGFBP4,FZD8,Human
PTH2,PTH1R,Human
PTH2,ADCYAP1R1,Human
PTH2,TSHR,Human
PTH2,GPR20,Human
PTH2,GPR84,Human
PTH2,ADRB2,Human
PTH2,ADRB3,Human
PTH2,VIPR1,Human
PTH2,PTH2R,Human
PROK1,PROKR1,Human
CGN,F11R,Human
CGN,TGFBR2,Human
CGN,OCLN,Human
CGN,TGFBR1,Human
LEFTY1,ACVR2B,Human
LEFTY1,ACVR1B,Human
REN,ATP6AP2,Human
GDF7,BMPR2,Human
GDF7,BMPR1A,Human
CALM2,KCNQ3,Human
CALM2,EGFR,Human
CALM2,KCNQ5,Human
CALM2,GRM7,Human
CALM2,MYLK,Human
CALM2,PDE1A,Human
CALM2,INSR,Human
CALM2,ADCY8,Human
CALM2,PDE1C,Human
CALM2,GP6,Human
CALM2,SCN10A,Human
CALM2,PLPP6,Human
CALM2,AQP6,Human
CALM2,GRM5,Human
CALM2,MYLK2,Human
CALM2,AQP1,Human
CALM2,SCN4A,Human
NXPH2,NRXN1,Human
LRIG1,EGFR,Human
LRIG1,MET,Human
UCN2,IL10RB,Human
UCN2,CRHR2,Human
UCN2,CRHR1,Human
SFRP2,FZD5,Human
MEGF10,ABCA1,Human
IL9,IL2RG,Human
FGF18,FGFR2,Human
FGF18,FGFR4,Human
FGF18,FGFR1,Human
FGF18,FGFR3,Human
CRH,ADCYAP1R1,Human
CRH,ADRB2,Human
CRH,CRHR2,Human
CRH,GPR84,Human
CRH,PTH1R,Human
CRH,VIPR1,Human
CRH,GPR20,Human
CRH,MC2R,Human
CRH,CRHR1,Human
CRH,ADRB3,Human
CRH,TSHR,Human
RSPO2,LGR6,Human
RSPO2,LGR4,Human
RSPO2,ZNRF3,Human
IFNA1,IFNAR2,Human
IFNA1,CR2,Human
LIN7C,ABCA1,Human
LIN7C,KCNJ4,Human
SERPING1,SELE,Human
GPHA2,EPHA6,Human
GPHA2,TSHR,Human
CTF1,IL6ST,Human
IL18,CD48,Human
IL18,IL18R1,Human
IL18,IL1RAPL1,Human
IL18,IL18BP,Human
QDPR,DYSF,Human
PIGF,FLT1,Human
TNFSF4,TNFRSF4,Human
PTH,ADCYAP1R1,Human
PTH,ADRB2,Human
PTH,GPR84,Human
PTH,PTH1R,Human
PTH,VIPR1,Human
PTH,GPR20,Human
PTH,ADRB3,Human
PTH,TSHR,Human
BMP3,ACVR2B,Human
BMP3,BMPR2,Human
BMP3,BMPR1A,Human
BMP3,BMPR1B,Human
BMP6,HJV,Human
BMP6,BMPR2,Human
BMP6,BMPR1A,Human
BMP6,BMPR1B,Human
SEMA3D,PLXND1,Human
WNT3A,LRP5,Human
WNT3A,FZD5,Human
WNT3A,ROR1,Human
WNT3A,ATP6AP2,Human
WNT3A,APCDD1,Human
WNT3A,RYK,Human
WNT3A,FZD1,Human
WNT3A,FZD7,Human
WNT3A,FZD3,Human
WNT3A,FZD8,Human
WNT3A,FZD2,Human
WNT3A,FZD6,Human
APP,VLDLR,Human
APP,MTNR1A,Human
APP,FPR2,Human
APP,GRM7,Human
APP,LRP10,Human
APP,PLD1,Human
APP,TSPAN15,Human
APP,DCC,Human
APP,CAV1,Human
APP,RPSA,Human
APP,TNFRSF21,Human
APP,NCSTN,Human
APP,AGER,Human
WNT7A,LDLR,Human
WNT7A,RECK,Human
WNT7A,FZD9,Human
WNT7A,FZD5,Human
DKK2,KREMEN2,Human
WIF1,RYK,Human
ADAMTS3,CCBE1,Human
CXCL13,CCR10,Human
CXCL13,CXCR3,Human
CXCL13,GRM7,Human
CXCL13,CXCR5,Human
CXCL13,MTNR1A,Human
GDF6,BMPR2,Human
GDF6,BMPR1A,Human
GDF6,BMPR1B,Human
NODAL,ACVR2B,Human
NODAL,SMAD3,Human
NODAL,ACVR1B,Human
SST,SSTR5,Human
SST,SSTR2,Human
SST,MTNR1A,Human
SST,SSTR3,Human
