ligand,receptor,species
POMC,MC3R,Human
ASIP,MC3R,Human
AGRP,MC3R,Human
IL9,IL9R,Human
APP,PTGER2,Human
F12,CD93,Human
COL4A3,CD93,Human
COL4A6,CD93,Human
COL4A5,CD93,Human
KNG1,CD93,Human
SFTPA2,CD93,Human
COL4A2,CD93,Human
COL4A4,CD93,Human
MBL2,CD93,Human
COL1A2,CD93,Human
COL4A1,CD93,Human
C1QA,CD93,Human
GNAI2,S1PR4,Human
KISS1,MMP24,Human
IGFL2,IGFLR1,Human
IGFL1,IGFLR1,Human
IGFL3,IGFLR1,Human
CCL21,CCR7,Human
CCL19,CCR7,Human
HLA-B,CANX,Human
TNFSF4,TRAF2,Human
TNF,TRAF2,Human
FADD,TRAF2,Human
GSTP1,TRAF2,Human
F2,F2RL3,Human
PMCH,MCHR1,Human
GAL,GALR3,Human
GALP,GALR3,Human
NTNG2,LRRC4,Human
WNT4,SMO,Human
BMP2,SMO,Human
SHH,SMO,Human
CCL5,ACKR4,Human
CCL11,ACKR4,Human
CCL21,ACKR4,Human
CCL25,ACKR4,Human
CCL7,ACKR4,Human
CXCL13,ACKR4,Human
CCL19,ACKR4,Human
CCL8,ACKR4,Human
S100A9,CD68,Human
S100A8,CD68,Human
PDGFB,ART1,Human
HLA-A,LILRA1,Human
HLA-C,LILRA1,Human
HLA-B,LILRA1,Human
AFDN,NECTIN2,Human
AGT,MAS1,Human
ADCYAP1,RAMP2,Human
GHRH,RAMP2,Human
CALCA,RAMP2,Human
ADM,RAMP2,Human
CGA,RAMP2,Human
GCG,RAMP2,Human
TSHB,RAMP2,Human
PTH2,RAMP2,Human
AVP,RAMP2,Human
VIP,RAMP2,Human
PTH,RAMP2,Human
ADM2,RAMP2,Human
PTHLH,RAMP2,Human
NPS,RAMP2,Human
FSHB,RAMP2,Human
POMC,RAMP2,Human
RLN2,RAMP2,Human
CALCB,RAMP2,Human
RLN3,RAMP2,Human
GIP,RAMP2,Human
CRH,RAMP2,Human
INSL3,RAMP2,Human
CALCA,RAMP1,Human
ADM,RAMP1,Human
VIP,RAMP1,Human
ADM2,RAMP1,Human
CALCB,RAMP1,Human
GUCA2B,GUCY2D,Human
CLEC3A,CLEC10A,Human
SST,SSTR4,Human
CORT,SSTR4,Human
NMS,NMUR2,Human
NMU,NMUR2,Human
ARF1,CHRM3,Human
VEGFC,LYVE1,Human
PCSK9,SORT1,Human
NGF,SORT1,Human
LRPAP1,SORT1,Human
BDNF,SORT1,Human
PSAP,SORT1,Human
DLK1,NOTCH2,Human
DLL1,NOTCH2,Human
MFNG,NOTCH2,Human
PSEN1,NOTCH2,Human
ADAM10,NOTCH2,Human
APP,NOTCH2,Human
JAG2,NOTCH2,Human
NGF,KIDINS220,Human
HDC,HRH4,Human
CCL16,HRH4,Human
GNAI2,MTNR1B,Human
DSC3,DSG3,Human
DSC1,DSG3,Human
DSC3,DSG1,Human
DSC2,DSG1,Human
DSC1,DSG1,Human
PDGFC,PDGFRA,Human
PDGFB,PDGFRA,Human
PDGFD,PDGFRA,Human
PDGFA,PDGFRA,Human
FGF19,KLB,Human
FGF21,KLB,Human
LAMA1,NT5E,Human
FN1,NT5E,Human
CALM1,MIP,Human
NMB,NMBR,Human
EDA,EDAR,Human
SEMA7A,PLXNC1,Human
LTA,RIPK1,Human
TNF,RIPK1,Human
CD14,RIPK1,Human
CALR,HLA-F,Human
B2M,HLA-F,Human
HMGB1,TLR2,Human
CCN1,TLR2,Human
HSP90B1,TLR2,Human
BGN,TLR2,Human
SAA1,TLR2,Human
VCAN,TLR2,Human
ZG16B,TLR2,Human
HRAS,TLR2,Human
SFTPA1,TLR2,Human
RNASE2,TLR2,Human
CCN6,SORL1,Human
MDK,SORL1,Human
LRPAP1,SORL1,Human
APP,SORL1,Human
L1CAM,ITGAV,Human
TNC,ITGAV,Human
PLAU,ITGAV,Human
EDIL3,ITGAV,Human
COL4A6,ITGAV,Human
COL4A5,ITGAV,Human
SPP1,ITGAV,Human
NID1,ITGAV,Human
PDGFB,ITGAV,Human
ICAM4,ITGAV,Human
COL4A4,ITGAV,Human
CALR,ITGAV,Human
CCN1,ITGAV,Human
FGG,ITGAV,Human
FGA,ITGAV,Human
COL4A3,ITGAV,Human
MFGE8,ITGAV,Human
FGB,ITGAV,Human
FBN1,ITGAV,Human
AZGP1,ITGAV,Human
ADAM9,ITGAV,Human
VEGFA,ITGAV,Human
ADAM15,ITGAV,Human
COL1A2,ITGAV,Human
ANGPTL3,ITGAV,Human
COL4A1,ITGAV,Human
FN1,ITGAV,Human
CP,SLC40A1,Human
GUCA2B,GUCY2C,Human
GUCA2A,GUCY2C,Human
SOSTDC1,LRP6,Human
IGFBP4,LRP6,Human
RSPO1,LRP6,Human
PTH,LRP6,Human
WNT1,LRP6,Human
RSPO3,LRP6,Human
WNT2,LRP6,Human
WNT9B,LRP6,Human
CCN2,LRP6,Human
SOST,LRP6,Human
APP,LRP6,Human
CKLF,LRP6,Human
WNT5A,LRP6,Human
DKK1,LRP6,Human
WNT7A,LRP6,Human
DKK2,LRP6,Human
WNT3A,LRP6,Human
DSC3,DSG2,Human
DSC2,DSG2,Human
TNFSF13B,TNFRSF13B,Human
TNFSF13,TNFRSF13B,Human
SAA1,SCARB1,Human
PDGFC,PDGFRB,Human
PDGFB,PDGFRB,Human
PDGFD,PDGFRB,Human
MFGE8,PDGFRB,Human
PDGFA,PDGFRB,Human
PDGFC,FLT4,Human
VEGFC,FLT4,Human
TNF,FLT4,Human
VEGFD,FLT4,Human
COL1A2,FLT4,Human
FN1,FLT4,Human
ADCYAP1,VIPR2,Human
VIP,VIPR2,Human
LGALS3BP,CD33,Human
IL12A,IL12RB2,Human
ASIP,MGRN1,Human
F2,ITGA2B,Human
ICAM4,ITGA2B,Human
CALR,ITGA2B,Human
FGG,ITGA2B,Human
FGA,ITGA2B,Human
COL2A1,ITGA2B,Human
FGB,ITGA2B,Human
COL1A2,ITGA2B,Human
FN1,ITGA2B,Human
GCG,GLP2R,Human
CALM1,GLP2R,Human
SEMA6D,TYROBP,Human
CALM2,TRPC5,Human
CALM1,TRPC5,Human
CALM3,TRPC5,Human
CALM1,KCNN4,Human
ASIP,ATRN,Human
CALR,SCARF1,Human
ARF1,PLD2,Human
EGF,PLD2,Human
CRISP3,A1BG,Human
HRAS,GRIN2D,Human
IL16,GRIN2D,Human
HSPA1A,GRIN2D,Human
IL27,IL27RA,Human
DLK1,NOTCH3,Human
DLL1,NOTCH3,Human
PSEN1,NOTCH3,Human
THBS2,NOTCH3,Human
SCGB3A1,NOTCH3,Human
JAG2,NOTCH3,Human
CTF1,LIFR,Human
CLCF1,LIFR,Human
CNTF,LIFR,Human
APP,APLP2,Human
HLA-A,APLP2,Human
PCSK9,APLP2,Human
INHBC,ACVR1,Human
BMP7,ACVR1,Human
INHBB,ACVR1,Human
GDF2,ACVR1,Human
BMP2,ACVR1,Human
BMP6,ACVR1,Human
GDF5,ACVR1,Human
TGFB2,ACVR1,Human
GPC3,CD81,Human
CD99,CD81,Human
VCAN,SELP,Human
CD34,SELP,Human
SERPING1,SELP,Human
CD24,SELP,Human
GAS6,TYRO3,Human
PROS1,TYRO3,Human
VEGFA,TYRO3,Human
MDK,LRP2,Human
PLAU,LRP2,Human
LRPAP1,LRP2,Human
ARPC5,LRP2,Human
AGT,LRP2,Human
GC,LRP2,Human
AVP,LRP2,Human
ALB,LRP2,Human
APOA2,LRP2,Human
AGRN,LRP2,Human
GPC3,LRP2,Human
TF,LRP2,Human
INS,LRP2,Human
LPA,LRP2,Human
APOA4,LRP2,Human
EGF,LRP2,Human
CUBN,LRP2,Human
HSPA8,LRP2,Human
SCGB1A1,LRP2,Human
APOC2,LRP2,Human
HSPG2,LRP2,Human
LPL,LRP2,Human
WNT5A,LRP2,Human
SHH,LRP2,Human
LCN2,LRP2,Human
ACTR2,LRP2,Human
LEP,LRP2,Human
PDGFC,KDR,Human
VEGFC,KDR,Human
GREM1,KDR,Human
VEGFD,KDR,Human
TIMP3,KDR,Human
SEMA6D,KDR,Human
CXCL8,KDR,Human
COL18A1,KDR,Human
VEGFA,KDR,Human
TNFSF12,TNFRSF8,Human
AFDN,NECTIN1,Human
WNT5A,MCAM,Human
LAMA1,GPC1,Human
TDGF1,GPC1,Human
BMP2,GPC1,Human
SLIT1,GPC1,Human
NRG1,GPC1,Human
APP,GPC1,Human
SERPINC1,GPC1,Human
COL18A1,GPC1,Human
SLIT2,GPC1,Human
SHH,GPC1,Human
VEGFA,GPC1,Human
CD274,CD80,Human
IL1F10,IL1RL2,Human
IL18,IL1RL2,Human
IL18,IL18RAP,Human
RTN4,CNTNAP1,Human
TNC,ITGA9,Human
VEGFC,ITGA9,Human
ADAM2,ITGA9,Human
PLG,ITGA9,Human
SPP1,ITGA9,Human
F13A1,ITGA9,Human
VEGFD,ITGA9,Human
ADAM12,ITGA9,Human
VCAM1,ITGA9,Human
TGM2,ITGA9,Human
VEGFA,ITGA9,Human
CSF2,ITGA9,Human
ADAM15,ITGA9,Human
FN1,ITGA9,Human
NPPC,NPR3,Human
NPPB,NPR3,Human
OSTN,NPR3,Human
VIP,NPR3,Human
NPPA,NPR3,Human
AGT,ENPEP,Human
VEGFB,NRP1,Human
SEMA3D,NRP1,Human
SEMA3B,NRP1,Human
PGF,NRP1,Human
SEMA3E,NRP1,Human
SEMA4A,NRP1,Human
FGF1,NRP1,Human
CNTN2,NRP1,Human
VEGFA,NRP1,Human
FGF7,NRP1,Human
NXPH1,NRXN2,Human
NLGN2,NRXN2,Human
NXPH3,NRXN2,Human
AFDN,NRXN2,Human
NLGN1,NRXN2,Human
NLGN3,NRXN2,Human
PDYN,OPRK1,Human
POMC,OPRK1,Human
PENK,OPRK1,Human
CALM2,CACNA1C,Human
NCAM1,CACNA1C,Human
RIMS1,CACNA1C,Human
CALM1,CACNA1C,Human
CALM3,CACNA1C,Human
RSPO2,LGR5,Human
RSPO3,LGR5,Human
RSPO1,LGR5,Human
WNT3A,LGR5,Human
VCAM1,ITGB7,Human
FN1,ITGB7,Human
NRG3,ERBB3,Human
NRG1,ERBB3,Human
AREG,ERBB3,Human
L1CAM,ERBB3,Human
TGFA,ERBB3,Human
NRG2,ERBB3,Human
BTC,ERBB3,Human
SCGB1A1,LMBR1L,Human
SST,SSTR1,Human
CORT,SSTR1,Human
GPC3,IGF1R,Human
INS,IGF1R,Human
IGF2,IGF1R,Human
GNAI2,IGF1R,Human
IGF1,IGF1R,Human
CAMP,IGF1R,Human
HSP90B1,ASGR1,Human
HP,ASGR1,Human
S100A4,ERBB2,Human
NRG3,ERBB2,Human
SEMA4D,ERBB2,Human
NRG1,ERBB2,Human
HLA-A,ERBB2,Human
NRG4,ERBB2,Human
HSP90B1,ERBB2,Human
L1CAM,ERBB2,Human
TGFA,ERBB2,Human
NRG2,ERBB2,Human
HSP90AA1,ERBB2,Human
BTC,ERBB2,Human
IFNW1,IFNAR1,Human
IFNA16,IFNAR1,Human
IFNA14,IFNAR1,Human
IFNA17,IFNAR1,Human
IFNA4,IFNAR1,Human
IFNA13,IFNAR1,Human
IFNA5,IFNAR1,Human
IFNA1,IFNAR1,Human
IFNB1,IFNAR1,Human
IFNA6,IFNAR1,Human
IFNA10,IFNAR1,Human
IFNA8,IFNAR1,Human
IFNE,IFNAR1,Human
MMP9,IFNAR1,Human
IFNA21,IFNAR1,Human
IFNA2,IFNAR1,Human
IL20,IL22RA1,Human
IL22,IL22RA1,Human
IL24,IL22RA1,Human
TNF,CELSR2,Human
SYK,FCGR2A,Human
CXCL9,FCGR2A,Human
PTPN11,FCRL4,Human
PTPN6,FCRL4,Human
TFF1,FCRL4,Human
PTH,PTH2R,Human
PTHLH,PTH2R,Human
CALM1,PTH2R,Human
CXCL12,ACKR3,Human
CXCL11,ACKR3,Human
IL31,OSMR,Human
NRTN,GFRA3,Human
GDNF,GFRA3,Human
ARTN,GFRA3,Human
BCAN,EGFR,Human
S100A4,EGFR,Human
ZP3,EGFR,Human
NRG1,EGFR,Human
AREG,EGFR,Human
FGF1,EGFR,Human
NRG4,EGFR,Human
ANXA1,EGFR,Human
L1CAM,EGFR,Human
EFEMP1,EGFR,Human
FGL1,EGFR,Human
TGFA,EGFR,Human
ARF4,EGFR,Human
GNAI2,EGFR,Human
ANG,EGFR,Human
FGF13,EGFR,Human
GSTP1,EGFR,Human
HSP90AA1,EGFR,Human
CAMP,EGFR,Human
CNTF,EGFR,Human
BTC,EGFR,Human
CCN2,EGFR,Human
LRIG2,EGFR,Human
EPGN,EGFR,Human
VEGFA,EGFR,Human
CALM1,EGFR,Human
SPINK1,EGFR,Human
CALM3,EGFR,Human
EFNA3,EPHA1,Human
EFNA1,EPHA1,Human
EFNA5,EPHA1,Human
EFNA4,EPHA1,Human
LIN7C,HTR2C,Human
CALM1,HTR2C,Human
FASLG,TNFRSF10B,Human
NTF4,NTRK2,Human
NTF3,NTRK2,Human
BDNF,NTRK2,Human
DLK1,NOTCH1,Human
DLL1,NOTCH1,Human
MFNG,NOTCH1,Human
PSEN1,NOTCH1,Human
TNF,NOTCH1,Human
WNT4,NOTCH1,Human
DLK2,NOTCH1,Human
ADAM17,NOTCH1,Human
MFAP5,NOTCH1,Human
MFAP2,NOTCH1,Human
RBP3,NOTCH1,Human
JAG2,NOTCH1,Human
NTNG2,LRRC4C,Human
NTNG1,LRRC4C,Human
PLAU,ST14,Human
SPINT1,ST14,Human
PDYN,ADRA2A,Human
GNAI2,ADRA2A,Human
AGT,ADRA2A,Human
CXCL12,ADRA2A,Human
CXCL3,ADRA2A,Human
CCL5,ADRA2A,Human
CXCL11,ADRA2A,Human
NMS,ADRA2A,Human
APLN,ADRA2A,Human
SST,ADRA2A,Human
INSL5,ADRA2A,Human
NPY,ADRA2A,Human
CCL25,ADRA2A,Human
POMC,ADRA2A,Human
SAA1,ADRA2A,Human
CXCL8,ADRA2A,Human
PYY,ADRA2A,Human
CCL16,ADRA2A,Human
CXCL2,ADRA2A,Human
CXCL13,ADRA2A,Human
CXCL10,ADRA2A,Human
PPBP,ADRA2A,Human
PMCH,ADRA2A,Human
CXCL5,ADRA2A,Human
CCL19,ADRA2A,Human
PNOC,ADRA2A,Human
APP,ADRA2A,Human
CXCL1,ADRA2A,Human
NPB,ADRA2A,Human
PPY,ADRA2A,Human
CXCL9,ADRA2A,Human
CXCL16,ADRA2A,Human
CCL20,ADRA2A,Human
NPW,ADRA2A,Human
PENK,ADRA2A,Human
CCL28,ADRA2A,Human
RLN3,ADRA2A,Human
PF4,ADRA2A,Human
CORT,ADRA2A,Human
ANXA1,ADRA2A,Human
PMCH,MCHR2,Human
EFNA3,EPHA4,Human
EFNA1,EPHA4,Human
EFNA5,EPHA4,Human
EFNA4,EPHA4,Human
PDGFC,FLT1,Human
VEGFC,FLT1,Human
PLG,FLT1,Human
PGF,FLT1,Human
VEGFD,FLT1,Human
VEGFB,FLT1,Human
VEGFA,FLT1,Human
SORBS1,ITGA1,Human
COL4A6,ITGA1,Human
COL4A5,ITGA1,Human
LAMA2,ITGA1,Human
LAMA1,ITGA1,Human
COL6A1,ITGA1,Human
COL4A4,ITGA1,Human
COL5A1,ITGA1,Human
COL6A2,ITGA1,Human
COL4A3,ITGA1,Human
COL2A1,ITGA1,Human
VEGFD,ITGA1,Human
COL6A3,ITGA1,Human
COL5A2,ITGA1,Human
COL1A2,ITGA1,Human
MATN1,ITGA1,Human
COL4A1,ITGA1,Human
PLA2G10,PLA2R1,Human
FBN1,ITGB6,Human
FN1,ITGB6,Human
FYN,THY1,Human
SFTPD,LY96,Human
BGN,LY96,Human
WNT11,FZD7,Human
WNT1,FZD7,Human
CSF1,CSF1R,Human
CSF2,CSF1R,Human
IL34,CSF1R,Human
GNAS,ADCY8,Human
GNAI2,ADCY8,Human
CALM1,ADCY8,Human
CALM3,ADCY8,Human
WNT4,FZD1,Human
WNT7B,FZD1,Human
WNT1,FZD1,Human
IL25,IL17RB,Human
B2M,CD1A,Human
GNAS,HTR6,Human
IFNL2,IL10RB,Human
IL22,IL10RB,Human
IFNL1,IL10RB,Human
IL10,IL10RB,Human
IL24,IL10RB,Human
UCN3,IL10RB,Human
IFNL3,IL10RB,Human
PENK,OGFR,Human
PIP,NPTN,Human
GPI,AMFR,Human
TNFSF13B,TNFRSF13C,Human
GHRL,PTGIR,Human
GNAS,PTGIR,Human
DEFB103B,CCR2,Human
CCL11,CCR2,Human
DEFB103A,CCR2,Human
CCL7,CCR2,Human
CCL16,CCR2,Human
CCL24,CCR2,Human
DEFB106A,CCR2,Human
CCL26,CCR2,Human
CCL8,CCR2,Human
GNAI2,CCR5,Human
S100A4,CCR5,Human
CCL5,CCR5,Human
CCL14,CCR5,Human
CCL11,CCR5,Human
CCL3,CCR5,Human
CCL7,CCR5,Human
CCL16,CCR5,Human
CCL3L3,CCR5,Human
IL16,CCR5,Human
CCL4,CCR5,Human
CCL8,CCR5,Human
MDK,GPC2,Human
FGF19,FGFR4,Human
FGF21,FGFR4,Human
FGF3,FGFR4,Human
FGF5,FGFR4,Human
FGF14,FGFR4,Human
FGF11,FGFR4,Human
FGF1,FGFR4,Human
FGF17,FGFR4,Human
FGF16,FGFR4,Human
FGF13,FGFR4,Human
FGF12,FGFR4,Human
FGF9,FGFR4,Human
FGF8,FGFR4,Human
IL16,GRIN2C,Human
L1CAM,ITGA5,Human
PLAU,ITGA5,Human
SPP1,ITGA5,Human
CCN1,ITGA5,Human
FGG,ITGA5,Human
FGA,ITGA5,Human
VEGFD,ITGA5,Human
CCN2,ITGA5,Human
FGB,ITGA5,Human
FBN1,ITGA5,Human
ANGPT1,ITGA5,Human
COL18A1,ITGA5,Human
ADAM15,ITGA5,Human
ADAM17,ITGA5,Human
ANGPTL3,ITGA5,Human
FN1,ITGA5,Human
CORT,SSTR5,Human
GNAS,ADCY9,Human
GNAI2,ADCY9,Human
WNT8A,LRP5,Human
SOST,LRP5,Human
WNT7B,LRP5,Human
WNT8B,LRP5,Human
DKK1,LRP5,Human
PSEN1,NCSTN,Human
CGB5,LHCGR,Human
GNAI2,LHCGR,Human
CGB3,LHCGR,Human
CGA,LHCGR,Human
GNAS,LHCGR,Human
GAS6,MERTK,Human
PROS1,MERTK,Human
CCK,CCKAR,Human
YARS1,CXCR1,Human
GNAI2,CXCR1,Human
CXCL3,CXCR1,Human
CXCL8,CXCR1,Human
CXCL2,CXCR1,Human
PPBP,CXCR1,Human
CXCL5,CXCR1,Human
CXCL1,CXCR1,Human
IL17A,IL17RC,Human
IL17F,IL17RC,Human
FN1,IL17RC,Human
CCL5,CCR1,Human
CCL14,CCR1,Human
CCL3,CCR1,Human
CCL15,CCR1,Human
CCL23,CCR1,Human
CCL7,CCR1,Human
CCL16,CCR1,Human
CCL4,CCR1,Human
CCL26,CCR1,Human
CCL8,CCR1,Human
CCL18,CCR1,Human
PLAU,ITGB5,Human
EDIL3,ITGB5,Human
SORBS1,ITGB5,Human
SPP1,ITGB5,Human
TLN1,ITGB5,Human
COL4A2,ITGB5,Human
CCN1,ITGB5,Human
ADAM9,ITGB5,Human
COL18A1,ITGB5,Human
ITGB3BP,ITGB5,Human
LTBP3,ITGB5,Human
LTBP1,ITGB5,Human
MST1,MST1R,Human
SHH,HHIP,Human
COL4A6,ITGA2,Human
COL4A5,ITGA2,Human
LAMA2,ITGA2,Human
LAMA1,ITGA2,Human
LAMC3,ITGA2,Human
COL6A1,ITGA2,Human
COL4A4,ITGA2,Human
COL11A1,ITGA2,Human
COL6A2,ITGA2,Human
COL4A3,ITGA2,Human
COL2A1,ITGA2,Human
VEGFD,ITGA2,Human
MMP1,ITGA2,Human
HSPG2,ITGA2,Human
LAMB3,ITGA2,Human
CHAD,ITGA2,Human
COL1A2,ITGA2,Human
COL4A1,ITGA2,Human
FN1,ITGA2,Human
COL7A1,ITGA2,Human
COL3A1,ITGA2,Human
F2,F2RL2,Human
PLG,F2RL1,Human
F2,F2RL1,Human
NUCB2,ERAP1,Human
TNF,TNFRSF21,Human
IL22,IL22RA2,Human
GNAS,ADCY1,Human
GNAI2,ADCY1,Human
TNFSF11,TNFRSF11B,Human
TNFSF13,TNFRSF11B,Human
FN1,TNFRSF11B,Human
RLN2,RXFP2,Human
RLN3,RXFP2,Human
INSL3,RXFP2,Human
RIMS1,SLC18A2,Human
CXCL12,AVPR1A,Human
AVP,AVPR1A,Human
VIP,AVPR1A,Human
FAT4,DCHS1,Human
GALP,GALR1,Human
NPY,MC4R,Human
POMC,MC4R,Human
ASIP,MC4R,Human
ADM,GPR182,Human
B2M,CD3D,Human
HLA-A,CD3D,Human
HLA-C,CD3D,Human
HLA-B,CD3D,Human
GAS6,AXL,Human
PROS1,AXL,Human
C4A,C3AR1,Human
PDYN,MTNR1A,Human
GNAI2,MTNR1A,Human
AGT,MTNR1A,Human
CXCL12,MTNR1A,Human
CCL5,MTNR1A,Human
CXCL11,MTNR1A,Human
NMS,MTNR1A,Human
APLN,MTNR1A,Human
NPY,MTNR1A,Human
CCL25,MTNR1A,Human
POMC,MTNR1A,Human
SAA1,MTNR1A,Human
CALR,MTNR1A,Human
CXCL8,MTNR1A,Human
PYY,MTNR1A,Human
CCL16,MTNR1A,Human
CXCL2,MTNR1A,Human
CXCL10,MTNR1A,Human
PMCH,MTNR1A,Human
CCL19,MTNR1A,Human
CXCL1,MTNR1A,Human
NPB,MTNR1A,Human
PPY,MTNR1A,Human
CXCL9,MTNR1A,Human
CCL20,MTNR1A,Human
NPW,MTNR1A,Human
PENK,MTNR1A,Human
CCL28,MTNR1A,Human
RLN3,MTNR1A,Human
CORT,MTNR1A,Human
ANXA1,MTNR1A,Human
SPP1,PTGER4,Human
TAC1,TACR3,Human
TAC3,TACR3,Human
TAC4,TACR3,Human
GNAS,PTGDR,Human
TAC1,TACR1,Human
TAC3,TACR1,Human
TAC4,TACR1,Human
LRPAP1,LRP8,Human
RELN,LRP8,Human
SORBS1,INSR,Human
INS,INSR,Human
AHSG,INSR,Human
ARF1,INSR,Human
GIP,INSR,Human
IGF2,INSR,Human
HRAS,INSR,Human
CALM1,INSR,Human
CD86,CTLA4,Human
F2,GP9,Human
DKK1,KREMEN2,Human
SLIT2,ROBO4,Human
FN1,ROBO4,Human
ACE2,SLC6A19,Human
GHRH,ADRB2,Human
AVP,ADRB2,Human
PTHLH,ADRB2,Human
TF,ADRB2,Human
POMC,ADRB2,Human
RLN2,ADRB2,Human
HSPA8,ADRB2,Human
ADCYAP1,ADRB2,Human
CALCA,ADRB2,Human
ADM,ADRB2,Human
CGA,ADRB2,Human
GCG,ADRB2,Human
VIP,ADRB2,Human
ADM2,ADRB2,Human
NPS,ADRB2,Human
FSHB,ADRB2,Human
CALCB,ADRB2,Human
ACTR2,ADRB2,Human
RLN3,ADRB2,Human
GIP,ADRB2,Human
INSL3,ADRB2,Human
GNAI2,S1PR1,Human
PDGFB,S1PR1,Human
PENK,MRGPRX1,Human
NMS,NMUR1,Human
CD6,ALCAM,Human
S100A9,ALCAM,Human
CALM1,GRM5,Human
TSLP,IL7R,Human
PSAP,GPR37,Human
GNAI2,CHRM1,Human
LAMA3,SDC2,Human
LAMA1,SDC2,Human
TNFSF13,SDC2,Human
HRAS,SDC2,Human
SERPINC1,SDC2,Human
FN1,SDC2,Human
GNAI2,P2RY12,Human
PLAU,MRC2,Human
LGALS9,MRC2,Human
CER1,MRC2,Human
NPY,NPFFR2,Human
CALM1,GP6,Human
CRISP2,CATSPER1,Human
SHBG,GPRC6A,Human
XCL1,XCR1,Human
XCL2,XCR1,Human
CXCL2,XCR1,Human
CD200,CD200R1,Human
CALM1,AQP1,Human
RARRES2,CMKLR1,Human
LGALS9,HAVCR2,Human
C1QA,CSPG4,Human
C4B,CD46,Human
IL20,IL20RA,Human
IL24,IL20RA,Human
IL19,IL20RA,Human
EDN2,EDNRA,Human
EDN3,EDNRA,Human
EDN1,EDNRA,Human
HLA-G,LILRB1,Human
B2M,LILRB1,Human
HLA-A,LILRB1,Human
INS,LILRB1,Human
HLA-C,LILRB1,Human
HLA-B,LILRB1,Human
SEMA4A,PLXND1,Human
SEMA4D,MET,Human
SEMA5A,MET,Human
POMC,MC5R,Human
ASIP,MC5R,Human
TNF,ICOS,Human
ICOSLG,ICOS,Human
CXCL2,CXCR2,Human
CXCL1,CXCR2,Human
CD55,ADGRE2,Human
GHRH,GHRHR,Human
GHRL,GHRHR,Human
IL17A,IL17RA,Human
IL17F,IL17RA,Human
SEMA4B,DCBLD2,Human
GHRH,PTH1R,Human
AVP,PTH1R,Human
PTHLH,PTH1R,Human
POMC,PTH1R,Human
RLN2,PTH1R,Human
ADCYAP1,PTH1R,Human
CALCA,PTH1R,Human
ADM,PTH1R,Human
CGA,PTH1R,Human
GCG,PTH1R,Human
VIP,PTH1R,Human
ADM2,PTH1R,Human
NPS,PTH1R,Human
FSHB,PTH1R,Human
CALCB,PTH1R,Human
RLN3,PTH1R,Human
GIP,PTH1R,Human
INSL3,PTH1R,Human
UTS2B,UTS2R,Human
PDX1,SLC2A2,Human
AVP,OXTR,Human
CD86,CD28,Human
HLA-A,KIR3DL2,Human
HLA-B,KIR3DL2,Human
CCL16,CCR8,Human
CCL4,CCR8,Human
CCL18,CCR8,Human
GHRH,VIPR1,Human
AVP,VIPR1,Human
PTHLH,VIPR1,Human
POMC,VIPR1,Human
RLN2,VIPR1,Human
ADCYAP1,VIPR1,Human
CALCA,VIPR1,Human
ADM,VIPR1,Human
CGA,VIPR1,Human
GCG,VIPR1,Human
VIP,VIPR1,Human
ADM2,VIPR1,Human
GNAS,VIPR1,Human
NPS,VIPR1,Human
FSHB,VIPR1,Human
PTMA,VIPR1,Human
CALM1,VIPR1,Human
CALCB,VIPR1,Human
RLN3,VIPR1,Human
GIP,VIPR1,Human
INSL3,VIPR1,Human
GHRL,GPR39,Human
IFNL2,IFNLR1,Human
IFNL1,IFNLR1,Human
IFNL3,IFNLR1,Human
IL20,IL20RB,Human
IL24,IL20RB,Human
IL19,IL20RB,Human
TNFSF18,TNFRSF18,Human
CALM1,CNGA2,Human
RLN2,RXFP3,Human
RLN3,RXFP3,Human
F11,GP1BA,Human
GALP,GALR2,Human
NPB,NPBWR1,Human
APOD,LEPR,Human
RTN4,RTN4RL1,Human
DKK1,KREMEN1,Human
DKK3,KREMEN1,Human
OBP2A,OR1G1,Human
BSG,SELE,Human
AFDN,EPHB3,Human
CCL25,CCR10,Human
CCL7,CCR10,Human
CCL28,CCR10,Human
NPY,NPY2R,Human
PYY,NPY2R,Human
PPY,NPY2R,Human
CXCL12,CCR4,Human
CCL5,CCR4,Human
CCL3,CCR4,Human
NTN4,UNC5A,Human
PTGS2,PTGDR2,Human
FAM3C,LAMP1,Human
AMELX,LAMP1,Human
CORT,MRGPRX2,Human
POMC,MC2R,Human
ASIP,MC2R,Human
F10,F3,Human
IL6,F3,Human
F7,F3,Human
PTN,PTPRB,Human
PDCD1LG2,PDCD1,Human
CD274,PDCD1,Human
CCK,CCKBR,Human
B2M,KIR2DL1,Human
HLA-A,KIR2DL1,Human
HLA-C,KIR2DL1,Human
BMP5,HJV,Human
RGMA,HJV,Human
BMP2,HJV,Human
EFNA3,EPHA3,Human
EFNA1,EPHA3,Human
EFNA4,EPHA3,Human
IL22,IL21R,Human
NRG1,MS4A4A,Human
CCN1,CAV1,Human
PTGS2,CAV1,Human
HRAS,CAV1,Human
PLAU,PLAUR,Human
MMP12,PLAUR,Human
FN1,PLAUR,Human
BMP8B,PLAUR,Human
WNT5B,KLRG2,Human
HLA-G,KIR2DL4,Human
FGF21,FGFR3,Human
FGF14,FGFR3,Human
FGF1,FGFR3,Human
FGF17,FGFR3,Human
FGF16,FGFR3,Human
FGF12,FGFR3,Human
FGF9,FGFR3,Human
